iter	Passed	Remaining
782	3721	1031
783	3726	1026
784	3731	1021
785	3738	1017
786	3742	1012
787	3747	1008
788	3752	1003
789	3757	998
790	3762	994
791	3768	989
792	3773	985
793	3778	980
794	3782	975
795	3786	970
796	3791	965
797	3796	960
798	3802	956
799	3806	951
800	3811	946
801	3815	942
802	3820	937
803	3824	932
804	3829	927
805	3835	923
806	3840	918
807	3845	913
808	3849	908
809	3854	904
810	3858	899
811	3863	894
812	3867	889
813	3871	884
814	3875	879
815	3879	874
816	3884	870
817	3888	865
818	3892	860
819	3897	855
820	3901	850
821	3905	845
822	3909	840
823	3914	836
824	3918	831
825	3922	826
826	3927	821
827	3931	816
828	3935	811
829	3939	806
830	3944	802
831	3948	797
832	3952	792
833	3957	787
834	3961	782
835	3965	777
836	3969	773
837	3974	768
838	3978	763
839	3982	758
840	3986	753
841	3991	748
842	3996	744
843	4000	739
844	4004	734
845	4009	729
846	4013	724
847	4017	720
848	4021	715
849	4026	710
850	4030	705
851	4037	701
852	4042	696
853	4046	691
854	4050	686
855	4055	682
856	4059	677
857	4063	672
858	4067	667
859	4072	662
860	4076	658
861	4080	653
862	4084	648
863	4088	643
864	4092	638
865	4096	633
866	4101	629
867	4106	624
868	4110	619
869	4114	614
870	4119	610
871	4123	605
872	4127	600
873	4131	595
874	4136	590
875	4140	586
876	4144	581
877	4149	576
878	4153	571
879	4157	566
880	4161	562
881	4165	557
882	4170	552
883	4174	547
884	4178	542
885	4182	538
886	4187	533
887	4191	528
888	4196	523
889	4200	519
890	4204	514
891	4209	509
892	4213	504
893	4218	500
894	4224	495
895	4230	490
896	4235	486
897	4242	481
898	4248	477
899	4254	472
900	4259	468
901	4264	463
902	4270	458
903	4276	454
904	4282	449
905	4287	444
906	4292	440
907	4296	435
908	4301	430
909	4306	425
910	4315	421
911	4323	417
912	4328	412
913	4332	407
914	4337	402
915	4344	398
916	4350	393
917	4355	389
918	4359	384
919	4364	379
920	4369	374
921	4375	370
922	4384	365
923	4389	361
924	4394	356
925	4399	351
926	4403	346
927	4408	342
928	4416	337
929	4421	332
930	4425	328
931	4430	323
932	4437	318
933	4442	313
